"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jun 25 14:21:00 IDT 2022","Sat Jun 25 14:21:02 IDT 2022","2175","Web Suite","Web Tests","sanity.ToDoListElectron","sanity.ToDoListElectron","test01_AddAndVerifyNewTask","Test01 - Add And Verify New Task","This Test Add New Task In The List "
"passed","Sat Jun 25 14:21:08 IDT 2022","Sat Jun 25 14:21:11 IDT 2022","2635","Web Suite","Web Tests","sanity.ToDoListElectron","sanity.ToDoListElectron","test02_AddAndVerifyNewTask","Test02 - Add And Verify New Task","This Test Add New Task In The List "
"passed","Sat Jun 25 14:21:09 IDT 2022","Sat Jun 25 14:21:14 IDT 2022","5087","Web Suite","Web Tests","sanity.GrafanaAPI","sanity.GrafanaAPI","test01_verifyTeam","Test 01: Get Team From Grafana","This Test Verify Team Property"
"passed","Sat Jun 25 14:21:14 IDT 2022","Sat Jun 25 14:21:14 IDT 2022","175","Web Suite","Web Tests","sanity.GrafanaAPI","sanity.GrafanaAPI","test03_updateTeamAndVerify","Test 03: Update Team And Verify","This Test Updates a Team in Grafana and Verify it"
"passed","Sat Jun 25 14:20:56 IDT 2022","Sat Jun 25 14:21:04 IDT 2022","7501","Web Suite","Web Tests","sanity.GrafanaWeb","sanity.GrafanaWeb","test03_verifyNewUser","Test03 - Verify  News Users","This Test login and verifies the News Users"
"passed","Sat Jun 25 14:21:08 IDT 2022","Sat Jun 25 14:21:09 IDT 2022","1191","Web Suite","Web Tests","sanity.GrafanaWeb","sanity.GrafanaWeb","test05_verifyProgressSteps","Test05 - Verify Progress Steps","This Test and verifies the default Progress Steps are displayed (using soft assertion)"
"passed","Sat Jun 25 14:20:53 IDT 2022","Sat Jun 25 14:20:55 IDT 2022","1325","Web Suite","Web Tests","sanity.GrafanaWeb","sanity.GrafanaWeb","test02_verifyDefaultUsers","Test02 - Verify Default Users","This Test login and verifies the Default Users"
"passed","Sat Jun 25 14:21:14 IDT 2022","Sat Jun 25 14:21:14 IDT 2022","210","Web Suite","Web Tests","sanity.GrafanaAPI","sanity.GrafanaAPI","test04_deleteExistingTeam","Test 04: Delete Existing Team From Grafana","This Test Delete a Team From Grafana and Verify"
"passed","Sat Jun 25 14:21:14 IDT 2022","Sat Jun 25 14:21:14 IDT 2022","172","Web Suite","Web Tests","sanity.GrafanaAPI","sanity.GrafanaAPI","test02_addTeamAndVerify","Test 02: Add Team and Verify","This Test add a Team to Grafana"
"passed","Sat Jun 25 14:20:42 IDT 2022","Sat Jun 25 14:20:53 IDT 2022","10767","Web Suite","Web Tests","sanity.GrafanaWeb","sanity.GrafanaWeb","test01_verifyHeader","Test01 - Verify Header","This Test login and verifies the main header"
"passed","Sat Jun 25 14:21:05 IDT 2022","Sat Jun 25 14:21:08 IDT 2022","2936","Web Suite","Web Tests","sanity.GrafanaWeb","sanity.GrafanaWeb","test04_verifyUserDeletion","Test04 - Verify User Deletion","This Test verifies the deletion of a user"
